"DATES","DEPARTMENT","TEAM","SMV","WIP","OVER_TIME","INCENTIVE","IDLE_TIME","IDLE_MEN","NO_OF_STYLE_CHANGE","NO_OF_WORKERS","RATIO"
"01/01/2015","sweing",8,26.16,1108,7080,98,0,0,0,59,1.1759
"01/01/2015","finishing",1,3.94,0,960,0,0,0,0,8,1.182
"01/01/2015","sweing",11,11.41,968,3660,50,0,0,0,30.5,1.0007
"01/01/2015","sweing",12,11.41,968,3660,50,0,0,0,30.5,1.0007
"01/01/2015","sweing",6,25.9,1170,1920,50,0,0,0,56,1.0005
"01/01/2015","sweing",7,25.9,984,6720,38,0,0,0,56,1.0002
"01/01/2015","finishing",2,3.94,0,960,0,0,0,0,8,1.0069
"01/01/2015","sweing",3,28.08,795,6900,45,0,0,0,57.5,1.0049
"01/01/2015","sweing",2,19.87,733,6000,34,0,0,0,55,1.0041
"01/01/2015","sweing",1,28.08,681,6900,45,0,0,0,57.5,1.0006
"01/01/2015","sweing",9,28.08,872,6900,44,0,0,0,57.5,1.0302
"01/01/2015","sweing",10,19.31,578,6480,45,0,0,0,54,0.9496
"01/01/2015","sweing",5,11.41,668,3660,50,0,0,0,30.5,0.8838
"01/01/2015","finishing",10,3.94,0,960,0,0,0,0,8,1.086
"01/01/2015","finishing",8,2.9,0,960,0,0,0,0,8,0.9022
"01/01/2015","finishing",4,3.94,0,2160,0,0,0,0,18,0.7907
"01/01/2015","finishing",7,2.9,0,960,0,0,0,0,8,0.6759
"01/01/2015","sweing",4,23.69,861,7200,0,0,0,0,60,0.8018
"01/01/2015","finishing",11,4.15,0,1440,0,0,0,0,12,0.6233
"03/01/2015","finishing",4,4.15,0,6600,0,0,0,0,20,1.235
"03/01/2015","finishing",11,2.9,0,5640,0,0,0,0,17,1.3172
"03/01/2015","finishing",9,4.15,0,960,0,0,0,0,8,1.1953
"03/01/2015","finishing",3,3.94,0,1560,0,0,0,0,8,1.2604
"03/01/2015","finishing",1,3.94,0,960,0,0,0,0,8,1.1286
"03/01/2015","sweing",1,28.08,772,6300,50,0,0,0,56.5,1.0009
"03/01/2015","sweing",3,28.08,913,6540,50,0,0,0,54.5,1.0004
"03/01/2015","sweing",8,26.16,1261,7080,50,0,0,0,59,1.0004
"03/01/2015","sweing",12,26.16,844,7080,63,0,0,0,59,1.0004
"03/01/2015","sweing",11,11.61,1005,7080,50,0,0,0,29.5,1.0003
"03/01/2015","sweing",5,11.61,659,7080,50,0,0,0,31.5,1.0002
"03/01/2015","sweing",6,25.9,1152,6720,50,0,0,0,56,1.0002
"03/01/2015","sweing",7,25.9,1138,6720,38,0,0,0,56,1.0002
"03/01/2015","sweing",10,19.31,610,6480,56,0,0,0,54,1.0497
"03/01/2015","finishing",2,4.15,0,960,0,0,0,0,8,0.9781
"03/01/2015","sweing",2,19.87,944,6600,45,0,0,0,55,1.0003
"03/01/2015","finishing",10,4.15,0,960,0,0,0,0,8,1.0026
"03/01/2015","sweing",4,23.69,544,13800,0,0,0,0,60,1.0002
"03/01/2015","sweing",9,28.08,1072,6900,40,0,0,0,57.5,1
"03/01/2015","finishing",8,2.9,0,960,0,0,0,0,8,0.7854
"03/01/2015","finishing",7,3.94,0,960,0,0,0,0,8,0.7816
"04/01/2015","finishing",3,4.15,0,1560,0,0,0,0,8,1.3219
"04/01/2015","finishing",9,3.94,0,960,0,0,0,0,8,1.1646
"04/01/2015","finishing",1,3.94,0,960,0,0,0,0,8,1.144
"04/01/2015","sweing",6,11.61,539,6975,50,0,0,0,31,1.0996
"04/01/2015","finishing",4,3.94,0,6600,0,0,0,0,20,1.0771
"04/01/2015","sweing",9,26.16,1278,7080,60,0,0,0,59,1.0632
"04/01/2015","sweing",7,25.9,1227,7020,60,0,0,0,56.5,1.063
"04/01/2015","sweing",8,25.9,1039,6780,45,0,0,0,56.5,1.0629
"04/01/2015","sweing",4,28.08,878,4260,50,0,0,0,55.5,1.0007
"04/01/2015","sweing",1,26.16,1033,7080,63,0,0,0,59,1.0004
"04/01/2015","sweing",2,28.08,782,6660,50,0,0,0,55.5,1.0003
"04/01/2015","sweing",12,11.61,1216,6975,50,0,0,0,31,1
"04/01/2015","finishing",2,3.94,0,960,0,0,0,0,8,0.9901
"04/01/2015","finishing",10,3.94,0,4320,0,0,0,0,18,1.0846
"04/01/2015","sweing",11,19.31,513,6480,45,0,0,0,54,1.0005
"04/01/2015","sweing",3,19.87,734,6600,45,0,0,0,55,1.0003
"04/01/2015","sweing",10,28.08,1202,6900,40,0,0,0,57.5,1
"04/01/2015","finishing",8,2.9,0,960,0,0,0,0,8,0.8534
"04/01/2015","finishing",7,2.9,0,960,0,0,0,0,8,0.8345
"04/01/2015","sweing",5,45.67,884,6960,26,0,0,0,58,0.862
"04/01/2015","finishing",11,4.15,0,960,0,0,0,0,8,0.4611
"05/01/2015","finishing",1,3.94,0,1920,0,0,0,0,8,1.2013
"05/01/2015","finishing",11,3.94,0,2400,0,0,0,0,10,1.1744
"05/01/2015","finishing",4,3.94,0,3840,0,0,0,0,16,1.1171
"05/01/2015","finishing",3,4.15,0,1920,0,0,0,0,8,1.1672
"05/01/2015","sweing",9,26.16,1227,7080,75,0,0,0,59,1.0632
"05/01/2015","finishing",9,2.9,0,1920,0,0,0,0,8,1.026
"05/01/2015","finishing",2,3.94,0,960,0,0,0,0,8,1.0055
"05/01/2015","sweing",7,25.9,1255,6780,50,0,0,0,56.5,1.0009
"05/01/2015","sweing",8,25.9,1047,6780,38,0,0,0,56.5,1.0009
"05/01/2015","sweing",1,26.16,1138,7080,63,0,0,0,59,1.0004
"05/01/2015","sweing",11,19.31,678,4800,50,0,0,0,55,1.0003
"05/01/2015","sweing",6,11.61,712,7200,50,0,0,0,32,1.0003
"05/01/2015","sweing",12,11.61,1037,7200,50,0,0,0,32,1.0003
"05/01/2015","sweing",2,28.08,757,6900,50,0,0,0,57.5,1.0001
"05/01/2015","sweing",4,28.08,759,6900,50,0,0,0,57.5,1.0001
"05/01/2015","finishing",10,2.9,0,960,0,0,0,0,8,1.0178
"05/01/2015","finishing",5,2.9,0,960,0,0,0,0,8,1.2655
"05/01/2015","sweing",10,28.08,1083,7020,45,0,0,0,58.5,1.0005
"05/01/2015","sweing",3,19.87,944,6600,45,0,0,0,55,1.0003
"05/01/2015","finishing",7,3.94,0,960,0,0,0,0,8,0.8458
"05/01/2015","finishing",8,2.9,0,960,0,0,0,0,8,0.8307
"05/01/2015","sweing",5,21.98,666,6960,23,0,0,0,58,1
"06/01/2015","finishing",4,3.94,0,4440,0,0,0,0,18,1.2085
"06/01/2015","finishing",1,3.94,0,1440,0,0,0,0,8,1.1706
"06/01/2015","finishing",3,4.15,0,1800,0,0,0,0,10,1.1989
"06/01/2015","finishing",11,4.15,0,2700,0,0,0,0,15,1.1109
"06/01/2015","finishing",9,3.94,0,1440,0,0,0,0,8,1.0727
"06/01/2015","sweing",1,26.16,1187,10620,75,0,0,0,59,1.0631
"06/01/2015","sweing",9,26.16,1305,10620,75,0,0,0,59,1.0631
"06/01/2015","finishing",10,3.94,0,1440,0,0,0,0,8,1.0795
"06/01/2015","finishing",2,3.94,0,1440,0,0,0,0,8,1.0074
"06/01/2015","sweing",2,28.08,716,10350,50,0,0,0,57.5,1.0007
"06/01/2015","sweing",4,28.08,925,10350,50,0,0,0,57.5,1.0007
"06/01/2015","sweing",3,19.87,963,9900,50,0,0,0,55,1.0003
"06/01/2015","sweing",12,11.61,1101,5310,50,0,0,0,31.5,1.0002
"06/01/2015","sweing",7,25.9,1035,10170,38,0,0,0,56.5,1.0002
"06/01/2015","sweing",8,25.9,1083,10170,38,0,0,0,56.5,1.0002
"06/01/2015","sweing",6,11.61,910,4470,38,0,0,0,31.5,1.0001
"06/01/2015","sweing",10,28.08,1209,10530,45,0,0,0,58.5,1.0007
"06/01/2015","sweing",11,19.31,590,9900,45,0,0,0,55,1.0001
"06/01/2015","finishing",8,2.9,0,1440,0,0,0,0,8,0.8513
"06/01/2015","sweing",5,21.98,808,10440,35,0,0,0,58,1
"06/01/2015","finishing",7,2.9,0,1440,0,0,0,0,8,0.7703
"07/01/2015","finishing",1,3.94,0,1440,0,0,0,0,8,1.1893
"07/01/2015","finishing",9,3.94,0,1440,0,0,0,0,8,1.1007
"07/01/2015","sweing",1,26.16,1179,10620,75,0,0,0,59,1.0631
"07/01/2015","sweing",9,26.16,1324,10620,75,0,0,0,59,1.0631
"07/01/2015","sweing",8,25.9,1135,10170,60,0,0,0,56.5,1.0627
"07/01/2015","finishing",3,4.15,0,2700,0,0,0,0,15,1.1067
"07/01/2015","finishing",4,3.94,0,4440,0,0,0,0,18,1.034
"07/01/2015","finishing",2,3.94,0,1440,0,0,0,0,8,1.0167
"07/01/2015","finishing",10,3.94,0,1440,0,0,0,0,8,1.0745
"07/01/2015","finishing",7,2.9,0,1440,0,0,0,0,8,1.0058
"07/01/2015","sweing",2,28.08,776,10350,63,0,0,0,57.5,1.0007
"07/01/2015","sweing",4,28.08,990,10350,50,0,0,0,57.5,1.0007
"07/01/2015","sweing",6,11.41,986,5490,50,0,0,0,30.5,1.0004
"07/01/2015","sweing",3,19.87,924,9900,50,0,0,0,55,1.0003
"07/01/2015","sweing",12,11.61,1120,5670,50,0,0,0,31.5,1.0003
"07/01/2015","sweing",7,25.9,1066,10170,50,0,0,0,56.5,1.0002
"07/01/2015","sweing",10,28.08,1144,10530,69,0,0,0,58.5,1.0667
"07/01/2015","sweing",5,21.98,413,9720,40,0,0,0,58,1.0007
"07/01/2015","finishing",8,2.9,0,1440,0,0,0,0,8,0.8513
"07/01/2015","finishing",6,2.9,0,1800,0,0,0,0,10,0.8331
"07/01/2015","sweing",11,31.83,568,9900,40,0,0,0,55,0.5151
"07/01/2015","finishing",5,4.15,0,1440,0,0,0,0,8,0.4716
"08/01/2015","finishing",1,3.94,0,1440,0,0,0,0,8,1.1846
"08/01/2015","finishing",4,3.94,0,12600,0,0,0,0,20,1.1499
"08/01/2015","sweing",9,26.16,1216,10620,88,0,0,0,59,1.1253
"08/01/2015","finishing",9,3.94,0,1440,0,0,0,0,8,1.1147
"08/01/2015","sweing",1,26.16,1189,10620,75,0,0,0,59,1.0631
"08/01/2015","sweing",4,28.08,942,10530,75,0,0,0,58.5,1.0627
"08/01/2015","sweing",7,25.9,1050,10170,60,0,0,0,56.5,1.0627
"08/01/2015","sweing",8,25.9,1026,10170,60,0,0,0,56.5,1.0627
"08/01/2015","finishing",2,3.94,0,1440,0,0,0,0,8,1.0447
"08/01/2015","finishing",5,4.15,0,3840,0,0,0,0,8,1.1734
"08/01/2015","sweing",2,28.08,783,10050,63,0,0,0,58.5,1.0006
"08/01/2015","sweing",3,19.87,857,9900,50,0,0,0,55,1.0003
"08/01/2015","sweing",12,11.61,548,15120,63,0,0,0,31.5,1.0001
"08/01/2015","sweing",6,11.41,411,14640,50,0,0,0,30.5,1
"08/01/2015","sweing",10,28.08,1066,10530,69,0,0,0,58.5,1.0667
"08/01/2015","finishing",10,3.94,0,1440,0,0,0,0,8,1.0397
"08/01/2015","finishing",8,2.9,0,1440,0,0,0,0,8,0.92
"08/01/2015","finishing",3,4.15,0,2160,0,0,0,0,12,0.9502
"08/01/2015","finishing",7,2.9,0,1440,0,0,0,0,8,0.8513
"08/01/2015","finishing",11,4.15,0,900,0,0,0,0,5,0.6445
"08/01/2015","sweing",11,12.52,287,25920,38,0,0,0,54,0.9999
"08/01/2015","sweing",5,42.41,724,10260,0,0,0,0,57,0.3339
"10/01/2015","finishing",1,3.94,0,2160,0,0,0,0,8,1.2313
"10/01/2015","finishing",3,4.15,0,2760,0,0,0,0,12,1.2405
"10/01/2015","finishing",4,3.94,0,6000,0,0,0,0,20,1.1395
"10/01/2015","finishing",9,3.94,0,1440,0,0,0,0,8,1.0727
"10/01/2015","sweing",9,26.16,1122,10620,75,0,0,0,59,1.064
"10/01/2015","sweing",7,25.9,970,10170,60,0,0,0,56.5,1.0627
"10/01/2015","sweing",8,25.9,1158,10170,60,0,0,0,56.5,1.0627
"10/01/2015","finishing",10,3.94,0,1440,0,0,0,0,8,1.0587
"10/01/2015","finishing",11,4.15,0,1440,0,0,0,0,8,1.0218
"10/01/2015","finishing",2,3.94,0,1440,0,0,0,0,8,1.0214
"10/01/2015","sweing",4,28.08,660,10440,63,0,0,0,58,1.0013
"10/01/2015","sweing",2,28.08,749,10350,63,0,0,0,57.5,1.0007
"10/01/2015","sweing",12,11.61,893,4710,50,0,0,0,31.5,1.0004
"10/01/2015","sweing",6,11.41,887,5490,50,0,0,0,30.5,1.0004
"10/01/2015","sweing",1,26.16,1335,10620,63,0,0,0,59,1.0001
"10/01/2015","sweing",10,28.08,1082,10530,63,0,0,0,58.5,1
"10/01/2015","sweing",3,19.87,1075,7080,45,0,0,0,56,1.0001
"10/01/2015","sweing",11,12.52,749,9540,38,0,0,0,53,1.3465
"10/01/2015","finishing",7,2.9,0,1440,0,0,0,0,8,0.8376
"10/01/2015","finishing",8,2.9,0,1440,0,0,0,0,8,0.7861
"10/01/2015","sweing",5,20.79,966,7680,0,0,0,0,56,0.776
"10/01/2015","finishing",5,4.15,0,1440,0,0,0,0,8,0.6759
"11/01/2015","finishing",3,4.15,0,1440,0,0,0,0,8,1.2471
"11/01/2015","finishing",4,3.94,0,3600,0,0,0,0,20,1.1571
"11/01/2015","sweing",9,26.16,1095,10620,88,0,0,0,59,1.1253
"11/01/2015","finishing",1,3.94,0,1440,0,0,0,0,8,1.0913
"11/01/2015","finishing",9,3.94,0,1440,0,0,0,0,8,1.0727
"11/01/2015","sweing",1,26.16,1383,10620,75,0,0,0,59,1.0631
"11/01/2015","sweing",7,25.9,1012,10170,45,0,0,0,56.5,1.0627
"11/01/2015","sweing",8,25.9,1209,10170,60,0,0,0,56.5,1.0627
"11/01/2015","finishing",10,3.94,0,1440,0,0,0,0,8,1.0354
"11/01/2015","finishing",2,3.94,0,1440,0,0,0,0,8,1.026
"11/01/2015","sweing",6,11.41,887,5490,50,0,0,0,30.5,1.0004
"11/01/2015","sweing",12,11.61,896,5670,50,0,0,0,31.5,1.0003
"11/01/2015","sweing",2,28.08,805,10530,63,0,0,0,58.5,1
"11/01/2015","sweing",10,28.08,762,10530,38,0,0,0,58.5,1
"11/01/2015","sweing",3,19.87,1043,6420,0,0,0,0,55,0.8627
"11/01/2015","finishing",11,4.15,0,1440,0,0,0,0,8,0.8351
"11/01/2015","finishing",8,2.9,0,1440,0,0,0,0,8,0.817
"11/01/2015","finishing",5,4.15,0,1440,0,0,0,0,8,1.2183
"11/01/2015","sweing",11,12.52,831,9540,30,0,0,0,53,1.0004
"11/01/2015","finishing",6,2.9,0,1440,0,0,0,0,8,0.7467
"11/01/2015","finishing",7,2.9,0,1440,0,0,0,0,8,0.738
"11/01/2015","sweing",4,50.48,562,10440,0,0,0,0,58,0.5914
"11/01/2015","sweing",5,20.79,1208,7980,0,0,0,0,57,0.755
"12/01/2015","finishing",1,3.94,0,1440,0,0,0,0,8,1.1939
"12/01/2015","finishing",4,4.3,0,3240,0,0,0,0,18,2.692
"12/01/2015","finishing",3,4.15,0,1800,0,0,0,0,10,1.1318
"12/01/2015","finishing",2,3.94,0,1440,0,0,0,0,8,1.1007
"12/01/2015","finishing",9,3.94,0,1440,0,0,0,0,8,1.0727
"12/01/2015","sweing",1,26.16,1099,8220,75,0,0,0,59,1.0632
"12/01/2015","sweing",9,26.16,1093,10620,75,0,0,0,59,1.0631
"12/01/2015","sweing",7,25.9,1031,10170,60,0,0,0,56.5,1.0627
"12/01/2015","sweing",8,25.9,1233,10170,60,0,0,0,56.5,1.0627
"12/01/2015","finishing",6,2.9,0,1440,0,0,0,0,8,1.0218
"12/01/2015","finishing",5,4.15,0,1440,0,0,0,0,8,1.2455
"12/01/2015","sweing",3,19.87,941,9900,0,0,0,0,55,1.0003
"12/01/2015","sweing",6,11.41,843,5670,50,0,0,0,31.5,1.0002
"12/01/2015","sweing",12,11.61,760,4470,50,0,0,0,31.5,1.0001
"12/01/2015","sweing",2,28.08,737,10530,63,0,0,0,58.5,1
"12/01/2015","finishing",8,2.9,0,1440,0,0,0,0,8,0.9063
"12/01/2015","sweing",10,50.48,381,6930,45,0,0,0,58.5,0.8607
"12/01/2015","sweing",5,20.79,1141,8460,0,0,0,0,59,1.0001
"12/01/2015","sweing",11,12.52,1004,9540,44,0,0,0,53,1
"12/01/2015","finishing",7,2.9,0,1440,0,0,0,0,8,0.8101
"12/01/2015","finishing",11,4.15,0,1440,0,0,0,0,8,0.8007
"12/01/2015","sweing",4,22.4,581,7350,0,0,0,0,51.5,1.0018
"12/01/2015","finishing",10,3.94,0,1440,0,0,0,0,8,0.3078
"13/01/2015","finishing",4,4.3,0,2160,0,0,0,0,12,2.7201
"13/01/2015","finishing",1,3.94,0,1440,0,0,0,0,2,1.1893
"13/01/2015","finishing",10,3.94,0,5400,0,0,0,0,20,1.141
"13/01/2015","finishing",3,4.15,0,1620,0,0,0,0,9,1.1266
"13/01/2015","finishing",9,3.94,0,1440,0,0,0,0,8,1.0727
"13/01/2015","sweing",1,26.16,1073,10620,75,0,0,0,59,1.0631
"13/01/2015","sweing",9,26.16,1156,10620,75,0,0,0,59,1.0631
"13/01/2015","sweing",8,25.9,1211,10260,60,0,0,0,57,1.0628
"13/01/2015","sweing",7,25.9,1126,10170,60,0,0,0,56.5,1.0627
"13/01/2015","finishing",5,4.15,0,1440,0,0,0,0,8,1.2636
"13/01/2015","finishing",2,3.94,0,1440,0,0,0,0,8,1.0074
"13/01/2015","sweing",6,11.61,1004,5670,50,0,0,0,31.5,1.0003
"13/01/2015","sweing",12,11.61,1063,5670,50,0,0,0,31.5,1.0003
"13/01/2015","sweing",2,28.08,723,10530,50,0,0,0,58.5,1
"13/01/2015","sweing",3,42.27,465,9900,54,0,0,0,55,0.882
"13/01/2015","finishing",8,2.9,0,1440,0,0,0,0,8,0.8513
"13/01/2015","finishing",7,2.9,0,1440,0,0,0,0,8,0.8376
"13/01/2015","finishing",11,4.15,0,1440,0,0,0,0,8,0.7516
"13/01/2015","sweing",11,27.13,530,9540,37,0,0,0,53,0.8319
"13/01/2015","sweing",5,20.79,1297,10440,0,0,0,0,58,0.7526
"13/01/2015","sweing",4,22.4,783,10170,23,0,0,0,56.5,1.0008
"13/01/2015","sweing",10,22.4,715,10170,23,0,0,0,56.5,1.0006
"14/01/2015","finishing",11,4.15,0,1980,0,0,0,0,7,1.1683
"14/01/2015","finishing",4,4.3,0,2700,0,0,0,0,8,2.5945
"14/01/2015","sweing",7,25.9,1150,10170,70,0,0,0,56.5,1.1252
"14/01/2015","finishing",1,3.94,0,1440,0,0,0,0,8,1.1147
"14/01/2015","finishing",5,4.15,0,1440,0,0,0,0,15,1.3301
"14/01/2015","finishing",9,3.94,0,1440,0,0,0,0,8,1.0727
"14/01/2015","sweing",9,26.16,1232,10620,75,0,0,0,59,1.0631
"14/01/2015","sweing",8,25.9,1218,10170,60,0,0,0,56.5,1.0627
"14/01/2015","finishing",7,2.9,0,1440,0,0,0,0,8,1.047
"14/01/2015","finishing",3,4.15,0,1440,0,0,0,0,7,1.026
"14/01/2015","sweing",12,11.61,1159,2970,50,0,0,0,31.5,1.0004
"14/01/2015","sweing",6,11.61,972,5670,38,0,0,0,31.5,1.0003
"14/01/2015","sweing",1,26.16,1092,10620,63,0,0,0,59,1.0001
"14/01/2015","sweing",5,20.79,965,7320,0,0,0,0,58,1.0001
"14/01/2015","finishing",8,2.9,0,1440,0,0,0,0,8,0.8342
"14/01/2015","sweing",4,22.4,816,5100,23,0,0,0,57,1.0006
"14/01/2015","sweing",10,22.4,947,3390,23,0,0,0,56.5,1
"14/01/2015","sweing",11,14.61,838,7200,23,0,0,0,55,1.0001
"14/01/2015","finishing",10,3.94,0,1260,0,0,0,0,8,0.4154
"14/01/2015","sweing",2,51.02,1086,4260,27,0,0,0,57,0.389
"14/01/2015","finishing",2,3.94,0,1260,0,0,0,0,8,0.3091
"15/01/2015","finishing",4,4.3,0,3600,0,0,0,0,20,2.8247
"15/01/2015","finishing",10,3.94,0,3420,0,0,0,0,19,1.1914
"15/01/2015","finishing",1,3.94,0,1440,0,0,0,0,8,1.1053
"15/01/2015","finishing",5,4.15,0,1440,0,0,0,0,8,1.3241
"15/01/2015","finishing",9,3.94,0,1440,0,0,0,0,8,1.0727
"15/01/2015","sweing",1,26.16,1160,10620,75,0,0,0,59,1.0631
"15/01/2015","sweing",8,25.9,1177,8970,60,0,0,0,56.5,1.063
"15/01/2015","sweing",7,25.9,1281,10170,60,0,0,0,56.5,1.0627
"15/01/2015","sweing",9,26.16,1369,10620,63,0,0,0,59,1.0001
"15/01/2015","sweing",6,11.61,1084,4950,38,0,0,0,31.5,1
"15/01/2015","sweing",12,11.61,1216,4950,50,0,0,0,31.5,1
"15/01/2015","sweing",5,20.79,391,10440,0,0,0,0,58,1.0001
"15/01/2015","finishing",7,2.9,0,1440,0,0,0,0,8,0.8616
"15/01/2015","sweing",3,22.52,1102,10170,30,0,0,0,56.5,1.3214
"15/01/2015","sweing",4,22.52,872,10080,26,0,0,0,56,1.0002
"15/01/2015","finishing",8,2.9,0,1440,0,0,0,0,8,0.7586
"15/01/2015","sweing",10,22.52,1076,10170,23,0,0,0,56.5,1.0005
"15/01/2015","sweing",11,14.89,917,9900,30,0,0,0,55,1.0001
"15/01/2015","sweing",2,22.94,1044,9810,23,0,0,0,54.5,1
"17/01/2015","finishing",5,4.15,0,2700,0,0,0,0,15,1.5188
"17/01/2015","finishing",2,3.94,0,1800,0,0,0,0,10,1.2261
"17/01/2015","finishing",10,3.94,0,1440,0,0,0,0,8,1.2183
"17/01/2015","finishing",1,3.94,0,1440,0,0,0,0,8,1.1053
"17/01/2015","finishing",9,3.94,0,1800,0,0,0,0,10,1.0335
"17/01/2015","sweing",6,11.41,1067,5490,63,0,0,0,30.5,1.0004
"17/01/2015","sweing",12,11.61,1039,5670,63,0,0,0,31.5,1.0003
"17/01/2015","sweing",7,25.9,1396,10170,50,0,0,0,56.5,1.0002
"17/01/2015","sweing",8,25.9,1292,10170,50,0,0,0,56.5,1.0002
"17/01/2015","sweing",1,48.68,171,10620,63,0,0,0,59,1.0001
"17/01/2015","sweing",9,26.16,1128,10620,63,0,0,0,59,1.0001
"17/01/2015","sweing",2,22.94,865,6570,23,0,0,0,56.5,1.2835
"17/01/2015","sweing",4,22.52,825,10170,50,0,0,0,56.5,1.0008
"17/01/2015","finishing",8,2.9,0,1440,0,0,0,0,8,0.8445
"17/01/2015","finishing",7,2.9,0,1440,0,0,0,0,8,0.8273
"17/01/2015","sweing",10,22.52,1163,9720,35,0,0,0,54,1.0003
"17/01/2015","sweing",3,22.52,1140,10170,30,0,0,0,56.5,1.0005
