"quarter","department","day","team","targeted_productivity","smv","idle_men","no_of_style_change","actual_productivity"
"Quarter1","sweing","Thursday",8,0.8,26.16,0,0,0.940725424
"Quarter1","finishing","Thursday",1,0.75,3.94,0,0,0.8865
"Quarter1","sweing","Thursday",11,0.8,11.41,0,0,0.800570492
"Quarter1","sweing","Thursday",12,0.8,11.41,0,0,0.800570492
"Quarter1","sweing","Thursday",6,0.8,25.9,0,0,0.800381944
"Quarter1","sweing","Thursday",7,0.8,25.9,0,0,0.800125
"Quarter1","finishing","Thursday",2,0.75,3.94,0,0,0.755166667
"Quarter1","sweing","Thursday",3,0.75,28.08,0,0,0.753683478
"Quarter1","sweing","Thursday",2,0.75,19.87,0,0,0.753097531
"Quarter1","sweing","Thursday",1,0.75,28.08,0,0,0.750427826
"Quarter1","sweing","Thursday",9,0.7,28.08,0,0,0.721126957
"Quarter1","sweing","Thursday",10,0.75,19.31,0,0,0.712205247
"Quarter1","sweing","Thursday",5,0.8,11.41,0,0,0.707045902
"Quarter1","finishing","Thursday",10,0.65,3.94,0,0,0.705916667
"Quarter1","finishing","Thursday",8,0.75,2.9,0,0,0.676666667
"Quarter1","finishing","Thursday",4,0.75,3.94,0,0,0.593055556
"Quarter1","finishing","Thursday",7,0.8,2.9,0,0,0.540729167
"Quarter1","sweing","Thursday",4,0.65,23.69,0,0,0.52118
"Quarter1","finishing","Thursday",11,0.7,4.15,0,0,0.436326389
"Quarter1","finishing","Saturday",4,0.8,4.15,0,0,0.988024691
"Quarter1","finishing","Saturday",11,0.75,2.9,0,0,0.987880435
"Quarter1","finishing","Saturday",9,0.8,4.15,0,0,0.956270833
"Quarter1","finishing","Saturday",3,0.75,3.94,0,0,0.945277778
"Quarter1","finishing","Saturday",1,0.8,3.94,0,0,0.902916667
"Quarter1","sweing","Saturday",1,0.8,28.08,0,0,0.800725314
"Quarter1","sweing","Saturday",3,0.8,28.08,0,0,0.800322936
"Quarter1","sweing","Saturday",8,0.8,26.16,0,0,0.800318644
"Quarter1","sweing","Saturday",12,0.8,26.16,0,0,0.800318644
"Quarter1","sweing","Saturday",11,0.8,11.61,0,0,0.800237288
"Quarter1","sweing","Saturday",5,0.8,11.61,0,0,0.800148649
"Quarter1","sweing","Saturday",6,0.8,25.9,0,0,0.800125
"Quarter1","sweing","Saturday",7,0.8,25.9,0,0,0.800125
"Quarter1","sweing","Saturday",10,0.75,19.31,0,0,0.787299691
"Quarter1","finishing","Saturday",2,0.8,4.15,0,0,0.782447917
"Quarter1","sweing","Saturday",2,0.75,19.87,0,0,0.75024303
"Quarter1","finishing","Saturday",10,0.7,4.15,0,0,0.7018125
"Quarter1","sweing","Saturday",4,0.7,23.69,0,0,0.700134038
"Quarter1","sweing","Saturday",9,0.7,28.08,0,0,0.699965217
"Quarter1","finishing","Saturday",8,0.8,2.9,0,0,0.628333333
"Quarter1","finishing","Saturday",7,0.8,3.94,0,0,0.6253125
"Quarter1","finishing","Sunday",3,0.75,4.15,0,0,0.991388889
"Quarter1","finishing","Sunday",9,0.8,3.94,0,0,0.931645833
"Quarter1","finishing","Sunday",1,0.8,3.94,0,0,0.915229167
"Quarter1","sweing","Sunday",6,0.8,11.61,0,0,0.879714482
"Quarter1","finishing","Sunday",4,0.8,3.94,0,0,0.861679012
"Quarter1","sweing","Sunday",9,0.8,26.16,0,0,0.850569492
"Quarter1","sweing","Sunday",7,0.8,25.9,0,0,0.850436438
"Quarter1","sweing","Sunday",8,0.8,25.9,0,0,0.850345133
"Quarter1","sweing","Sunday",4,0.8,28.08,0,0,0.800598058
"Quarter1","sweing","Sunday",1,0.8,26.16,0,0,0.800318644
"Quarter1","sweing","Sunday",2,0.8,28.08,0,0,0.800237838
"Quarter1","sweing","Sunday",12,0.8,11.61,0,0,0.800030199
"Quarter1","finishing","Sunday",2,0.8,3.94,0,0,0.792104167
"Quarter1","finishing","Sunday",10,0.7,3.94,0,0,0.759228395
"Quarter1","sweing","Sunday",11,0.75,19.31,0,0,0.750348457
"Quarter1","sweing","Sunday",3,0.75,19.87,0,0,0.75024303
"Quarter1","sweing","Sunday",10,0.7,28.08,0,0,0.699965217
"Quarter1","finishing","Sunday",8,0.8,2.9,0,0,0.682708333
"Quarter1","finishing","Sunday",7,0.8,2.9,0,0,0.667604167
"Quarter1","sweing","Sunday",5,0.7,45.67,0,0,0.603432184
"Quarter1","finishing","Sunday",11,0.75,4.15,0,0,0.345833333
"Quarter1","finishing","Monday",1,0.8,3.94,0,0,0.961059028
"Quarter1","finishing","Monday",11,0.8,3.94,0,0,0.939513889
"Quarter1","finishing","Monday",4,0.8,3.94,0,0,0.893663194
"Quarter1","finishing","Monday",3,0.75,4.15,0,0,0.875390625
"Quarter1","sweing","Monday",9,0.8,26.16,0,0,0.850569492
"Quarter1","finishing","Monday",9,0.8,2.9,0,0,0.820833333
"Quarter1","finishing","Monday",2,0.8,3.94,0,0,0.804416667
"Quarter1","sweing","Monday",7,0.8,25.9,0,0,0.800684366
"Quarter1","sweing","Monday",8,0.8,25.9,0,0,0.800684366
"Quarter1","sweing","Monday",1,0.8,26.16,0,0,0.800318644
"Quarter1","sweing","Monday",11,0.8,19.31,0,0,0.800250962
"Quarter1","sweing","Monday",6,0.8,11.61,0,0,0.800246011
"Quarter1","sweing","Monday",12,0.8,11.61,0,0,0.800246011
"Quarter1","sweing","Monday",2,0.8,28.08,0,0,0.800076522
"Quarter1","sweing","Monday",4,0.8,28.08,0,0,0.800076522
"Quarter1","finishing","Monday",10,0.75,2.9,0,0,0.763375
"Quarter1","finishing","Monday",5,0.6,2.9,0,0,0.759270833
"Quarter1","sweing","Monday",10,0.75,28.08,0,0,0.7504
"Quarter1","sweing","Monday",3,0.75,19.87,0,0,0.75024303
"Quarter1","finishing","Monday",7,0.8,3.94,0,0,0.676666667
"Quarter1","finishing","Monday",8,0.8,2.9,0,0,0.664583333
"Quarter1","sweing","Monday",5,0.6,21.98,0,0,0.600028736
"Quarter1","finishing","Tuesday",4,0.8,3.94,0,0,0.966781346
"Quarter1","finishing","Tuesday",1,0.8,3.94,0,0,0.936496212
"Quarter1","finishing","Tuesday",3,0.75,4.15,0,0,0.899166667
"Quarter1","finishing","Tuesday",11,0.8,4.15,0,0,0.888686869
"Quarter1","finishing","Tuesday",9,0.8,3.94,0,0,0.858143939
"Quarter1","sweing","Tuesday",1,0.8,26.16,0,0,0.850502311
"Quarter1","sweing","Tuesday",9,0.8,26.16,0,0,0.850502311
"Quarter1","finishing","Tuesday",10,0.75,3.94,0,0,0.809640152
"Quarter1","finishing","Tuesday",2,0.8,3.94,0,0,0.805909091
"Quarter1","sweing","Tuesday",2,0.8,28.08,0,0,0.800594466
"Quarter1","sweing","Tuesday",4,0.8,28.08,0,0,0.800594466
"Quarter1","sweing","Tuesday",3,0.8,19.87,0,0,0.800273829
"Quarter1","sweing","Tuesday",12,0.8,11.61,0,0,0.800140969
"Quarter1","sweing","Tuesday",7,0.8,25.9,0,0,0.800128721
"Quarter1","sweing","Tuesday",8,0.8,25.9,0,0,0.800128721
"Quarter1","sweing","Tuesday",6,0.8,11.61,0,0,0.80007657
"Quarter1","sweing","Tuesday",10,0.75,28.08,0,0,0.750545455
"Quarter1","sweing","Tuesday",11,0.75,19.31,0,0,0.750057851
"Quarter1","finishing","Tuesday",8,0.8,2.9,0,0,0.681060606
"Quarter1","sweing","Tuesday",5,0.65,21.98,0,0,0.649983281
"Quarter1","finishing","Tuesday",7,0.8,2.9,0,0,0.61625
"Quarter1","finishing","Wednesday",1,0.8,3.94,0,0,0.951420455
"Quarter1","finishing","Wednesday",9,0.8,3.94,0,0,0.880530303
"Quarter1","sweing","Wednesday",1,0.8,26.16,0,0,0.850502311
"Quarter1","sweing","Wednesday",9,0.8,26.16,0,0,0.850502311
"Quarter1","sweing","Wednesday",8,0.8,25.9,0,0,0.850136766
"Quarter1","finishing","Wednesday",3,0.75,4.15,0,0,0.83
"Quarter1","finishing","Wednesday",4,0.8,3.94,0,0,0.827186544
"Quarter1","finishing","Wednesday",2,0.8,3.94,0,0,0.813371212
"Quarter1","finishing","Wednesday",10,0.75,3.94,0,0,0.805909091
"Quarter1","finishing","Wednesday",7,0.8,2.9,0,0,0.804640152
"Quarter1","sweing","Wednesday",2,0.8,28.08,0,0,0.800594466
"Quarter1","sweing","Wednesday",4,0.8,28.08,0,0,0.800594466
"Quarter1","sweing","Wednesday",6,0.8,11.41,0,0,0.800343766
"Quarter1","sweing","Wednesday",3,0.8,19.87,0,0,0.800273829
"Quarter1","sweing","Wednesday",12,0.8,11.61,0,0,0.800246753
"Quarter1","sweing","Wednesday",7,0.8,25.9,0,0,0.800128721
"Quarter1","sweing","Wednesday",10,0.75,28.08,0,0,0.8
"Quarter1","sweing","Wednesday",5,0.7,21.98,0,0,0.700480831
"Quarter1","finishing","Wednesday",8,0.8,2.9,0,0,0.681060606
"Quarter1","finishing","Wednesday",6,0.8,2.9,0,0,0.666515152
"Quarter1","sweing","Wednesday",11,0.8,31.83,0,0,0.412119835
"Quarter1","finishing","Wednesday",5,0.7,4.15,0,0,0.330113636
"Quarter2","finishing","Thursday",1,0.8,3.94,0,0,0.947689394
"Quarter2","finishing","Thursday",4,0.8,3.94,0,0,0.919905405
"Quarter2","sweing","Thursday",9,0.8,26.16,0,0,0.900215716
"Quarter2","finishing","Thursday",9,0.8,3.94,0,0,0.891723485
"Quarter2","sweing","Thursday",1,0.8,26.16,0,0,0.850502311
"Quarter2","sweing","Thursday",4,0.8,28.08,0,0,0.850181818
"Quarter2","sweing","Thursday",7,0.8,25.9,0,0,0.850136766
"Quarter2","sweing","Thursday",8,0.8,25.9,0,0,0.850136766
"Quarter2","finishing","Thursday",2,0.8,3.94,0,0,0.835757576
"Quarter2","finishing","Thursday",5,0.7,4.15,0,0,0.821354167
"Quarter2","sweing","Thursday",2,0.8,28.08,0,0,0.800497246
"Quarter2","sweing","Thursday",3,0.8,19.87,0,0,0.800273829
"Quarter2","sweing","Thursday",12,0.8,11.61,0,0,0.800107143
"Quarter2","sweing","Thursday",6,0.8,11.41,0,0,0.800024932
"Quarter2","sweing","Thursday",10,0.75,28.08,0,0,0.8
"Quarter2","finishing","Thursday",10,0.75,3.94,0,0,0.779791667
"Quarter2","finishing","Thursday",8,0.8,2.9,0,0,0.735984848
"Quarter2","finishing","Thursday",3,0.75,4.15,0,0,0.712626263
"Quarter2","finishing","Thursday",7,0.8,2.9,0,0,0.681060606
"Quarter2","finishing","Thursday",11,0.8,4.15,0,0,0.515606061
"Quarter2","sweing","Thursday",11,0.35,12.52,0,0,0.349951389
"Quarter2","sweing","Thursday",5,0.7,42.41,0,0,0.233705476
"Quarter2","finishing","Saturday",1,0.8,3.94,0,0,0.985
"Quarter2","finishing","Saturday",3,0.75,4.15,0,0,0.930340376
"Quarter2","finishing","Saturday",4,0.8,3.94,0,0,0.911589744
"Quarter2","finishing","Saturday",9,0.8,3.94,0,0,0.858143939
"Quarter2","sweing","Saturday",9,0.8,26.16,0,0,0.851174114
"Quarter2","sweing","Saturday",7,0.8,25.9,0,0,0.850136766
"Quarter2","sweing","Saturday",8,0.8,25.9,0,0,0.850136766
"Quarter2","finishing","Saturday",10,0.8,3.94,0,0,0.846950758
"Quarter2","finishing","Saturday",11,0.8,4.15,0,0,0.817424242
"Quarter2","finishing","Saturday",2,0.8,3.94,0,0,0.817102273
"Quarter2","sweing","Saturday",4,0.8,28.08,0,0,0.801028213
"Quarter2","sweing","Saturday",2,0.8,28.08,0,0,0.800594466
"Quarter2","sweing","Saturday",12,0.8,11.61,0,0,0.800346445
"Quarter2","sweing","Saturday",6,0.8,11.41,0,0,0.800343766
"Quarter2","sweing","Saturday",1,0.8,26.16,0,0,0.800117103
"Quarter2","sweing","Saturday",10,0.8,28.08,0,0,0.8
"Quarter2","sweing","Saturday",3,0.75,19.87,0,0,0.750098351
"Quarter2","sweing","Saturday",11,0.5,12.52,0,0,0.673245283
"Quarter2","finishing","Saturday",7,0.8,2.9,0,0,0.670075758
"Quarter2","finishing","Saturday",8,0.8,2.9,0,0,0.628882576
"Quarter2","sweing","Saturday",5,0.5,20.79,0,0,0.388007813
"Quarter2","finishing","Saturday",5,0.5,4.15,0,0,0.337973485
"Quarter2","finishing","Sunday",3,0.75,4.15,0,0,0.93532197
"Quarter2","finishing","Sunday",4,0.8,3.94,0,0,0.925643939
"Quarter2","sweing","Sunday",9,0.8,26.16,0,0,0.900215716
"Quarter2","finishing","Sunday",1,0.8,3.94,0,0,0.873068182
"Quarter2","finishing","Sunday",9,0.8,3.94,0,0,0.858143939
"Quarter2","sweing","Sunday",1,0.8,26.16,0,0,0.850502311
"Quarter2","sweing","Sunday",7,0.8,25.9,0,0,0.850136766
"Quarter2","sweing","Sunday",8,0.8,25.9,0,0,0.850136766
"Quarter2","finishing","Sunday",10,0.8,3.94,0,0,0.828295455
"Quarter2","finishing","Sunday",2,0.8,3.94,0,0,0.820833333
"Quarter2","sweing","Sunday",6,0.8,11.41,0,0,0.800343766
"Quarter2","sweing","Sunday",12,0.8,11.61,0,0,0.800246753
"Quarter2","sweing","Sunday",2,0.8,28.08,0,0,0.8
"Quarter2","sweing","Sunday",10,0.8,28.08,0,0,0.8
"Quarter2","sweing","Sunday",3,0.8,19.87,0,0,0.690182815
"Quarter2","finishing","Sunday",11,0.8,4.15,0,0,0.668087121
"Quarter2","finishing","Sunday",8,0.8,2.9,0,0,0.653598485
"Quarter2","finishing","Sunday",5,0.5,4.15,0,0,0.609138258
"Quarter2","sweing","Sunday",11,0.6,12.52,0,0,0.600229846
"Quarter2","finishing","Sunday",6,0.8,2.9,0,0,0.597348485
"Quarter2","finishing","Sunday",7,0.8,2.9,0,0,0.590435606
"Quarter2","sweing","Sunday",4,0.8,50.48,0,0,0.473134796
"Quarter2","sweing","Sunday",5,0.6,20.79,0,0,0.452979626
"Quarter2","finishing","Monday",1,0.8,3.94,0,0,0.955151515
"Quarter2","finishing","Monday",4,0.35,4.3,0,0,0.942213805
"Quarter2","finishing","Monday",3,0.8,4.15,0,0,0.905454545
"Quarter2","finishing","Monday",2,0.8,3.94,0,0,0.880530303
"Quarter2","finishing","Monday",9,0.8,3.94,0,0,0.858143939
"Quarter2","sweing","Monday",1,0.8,26.16,0,0,0.850522167
"Quarter2","sweing","Monday",9,0.8,26.16,0,0,0.850502311
"Quarter2","sweing","Monday",7,0.8,25.9,0,0,0.850136766
"Quarter2","sweing","Monday",8,0.8,25.9,0,0,0.850136766
"Quarter2","finishing","Monday",6,0.8,2.9,0,0,0.817424242
"Quarter2","finishing","Monday",5,0.65,4.15,0,0,0.809564394
"Quarter2","sweing","Monday",3,0.8,19.87,0,0,0.800273829
"Quarter2","sweing","Monday",6,0.8,11.41,0,0,0.800181818
"Quarter2","sweing","Monday",12,0.8,11.61,0,0,0.80007657
"Quarter2","sweing","Monday",2,0.8,28.08,0,0,0.8
"Quarter2","finishing","Monday",8,0.8,2.9,0,0,0.725
"Quarter2","sweing","Monday",10,0.8,50.48,0,0,0.688557555
"Quarter2","sweing","Monday",5,0.65,20.79,0,0,0.650040783
"Quarter2","sweing","Monday",11,0.65,12.52,0,0,0.64998056
"Quarter2","finishing","Monday",7,0.8,2.9,0,0,0.648106061
"Quarter2","finishing","Monday",11,0.8,4.15,0,0,0.640577652
"Quarter2","sweing","Monday",4,0.35,22.4,0,0,0.35063299
"Quarter2","finishing","Monday",10,0.8,3.94,0,0,0.24625
"Quarter2","finishing","Tuesday",4,0.35,4.3,0,0,0.952020202
"Quarter2","finishing","Tuesday",1,0.8,3.94,0,0,0.951420455
"Quarter2","finishing","Tuesday",10,0.8,3.94,0,0,0.912766667
"Quarter2","finishing","Tuesday",3,0.8,4.15,0,0,0.901262626
"Quarter2","finishing","Tuesday",9,0.8,3.94,0,0,0.858143939
"Quarter2","sweing","Tuesday",1,0.8,26.16,0,0,0.850502311
"Quarter2","sweing","Tuesday",9,0.8,26.16,0,0,0.850502311
"Quarter2","sweing","Tuesday",8,0.8,25.9,0,0,0.850252525
"Quarter2","sweing","Tuesday",7,0.8,25.9,0,0,0.850136766
"Quarter2","finishing","Tuesday",5,0.65,4.15,0,0,0.821354167
"Quarter2","finishing","Tuesday",2,0.8,3.94,0,0,0.805909091
"Quarter2","sweing","Tuesday",6,0.8,11.61,0,0,0.800246753
"Quarter2","sweing","Tuesday",12,0.8,11.61,0,0,0.800246753
"Quarter2","sweing","Tuesday",2,0.8,28.08,0,0,0.8
"Quarter2","sweing","Tuesday",3,0.8,42.27,0,0,0.705576584
"Quarter2","finishing","Tuesday",8,0.8,2.9,0,0,0.681060606
"Quarter2","finishing","Tuesday",7,0.8,2.9,0,0,0.670075758
"Quarter2","finishing","Tuesday",11,0.8,4.15,0,0,0.601278409
"Quarter2","sweing","Tuesday",11,0.7,27.13,0,0,0.582301029
"Quarter2","sweing","Tuesday",5,0.7,20.79,0,0,0.526810345
"Quarter2","sweing","Tuesday",4,0.5,22.4,0,0,0.500380799
"Quarter2","sweing","Tuesday",10,0.35,22.4,0,0,0.35020649
"Quarter2","finishing","Wednesday",11,0.8,4.15,0,0,0.934607438
"Quarter2","finishing","Wednesday",4,0.35,4.3,0,0,0.908080808
"Quarter2","sweing","Wednesday",7,0.8,25.9,0,0,0.900144811
"Quarter2","finishing","Wednesday",1,0.8,3.94,0,0,0.891723485
"Quarter2","finishing","Wednesday",5,0.65,4.15,0,0,0.864583333
"Quarter2","finishing","Wednesday",9,0.8,3.94,0,0,0.858143939
"Quarter2","sweing","Wednesday",9,0.8,26.16,0,0,0.850502311
"Quarter2","sweing","Wednesday",8,0.8,25.9,0,0,0.850136766
"Quarter2","finishing","Wednesday",7,0.8,2.9,0,0,0.837594697
"Quarter2","finishing","Wednesday",3,0.8,4.15,0,0,0.820833333
"Quarter2","sweing","Wednesday",12,0.8,11.61,0,0,0.800313433
"Quarter2","sweing","Wednesday",6,0.8,11.61,0,0,0.800246753
"Quarter2","sweing","Wednesday",1,0.8,26.16,0,0,0.800117103
"Quarter2","sweing","Wednesday",5,0.7,20.79,0,0,0.700095563
"Quarter2","finishing","Wednesday",8,0.8,2.9,0,0,0.667329545
"Quarter2","sweing","Wednesday",4,0.6,22.4,0,0,0.600369686
"Quarter2","sweing","Wednesday",10,0.5,22.4,0,0,0.499980334
"Quarter2","sweing","Wednesday",11,0.35,14.61,0,0,0.35003125
"Quarter2","finishing","Wednesday",10,0.8,3.94,0,0,0.332359307
"Quarter2","sweing","Wednesday",2,0.8,51.02,0,0,0.311207464
"Quarter2","finishing","Wednesday",2,0.8,3.94,0,0,0.247316017
"Quarter3","finishing","Thursday",4,0.35,4.3,0,0,0.988636364
"Quarter3","finishing","Thursday",10,0.8,3.94,0,0,0.953110048
"Quarter3","finishing","Thursday",1,0.8,3.94,0,0,0.884261364
"Quarter3","finishing","Thursday",5,0.65,4.15,0,0,0.860653409
"Quarter3","finishing","Thursday",9,0.8,3.94,0,0,0.858143939
"Quarter3","sweing","Thursday",1,0.8,26.16,0,0,0.850502311
"Quarter3","sweing","Thursday",8,0.8,25.9,0,0,0.850415628
"Quarter3","sweing","Thursday",7,0.8,25.9,0,0,0.850136766
"Quarter3","sweing","Thursday",9,0.8,26.16,0,0,0.800117103
"Quarter3","sweing","Thursday",6,0.8,11.61,0,0,0.80003139
"Quarter3","sweing","Thursday",12,0.8,11.61,0,0,0.80003139
"Quarter3","sweing","Thursday",5,0.7,20.79,0,0,0.700060345
"Quarter3","finishing","Thursday",7,0.8,2.9,0,0,0.689299242
"Quarter3","sweing","Thursday",3,0.5,22.52,0,0,0.660683293
"Quarter3","sweing","Thursday",4,0.65,22.52,0,0,0.650130952
"Quarter3","finishing","Thursday",8,0.8,2.9,0,0,0.606912879
"Quarter3","sweing","Thursday",10,0.6,22.52,0,0,0.600291767
"Quarter3","sweing","Thursday",11,0.5,14.89,0,0,0.500025069
"Quarter3","sweing","Thursday",2,0.5,22.94,0,0,0.499998888
"Quarter3","finishing","Saturday",5,0.65,4.15,0,0,0.98719697
"Quarter3","finishing","Saturday",2,0.8,3.94,0,0,0.980909091
"Quarter3","finishing","Saturday",10,0.8,3.94,0,0,0.974621212
"Quarter3","finishing","Saturday",1,0.8,3.94,0,0,0.884261364
"Quarter3","finishing","Saturday",9,0.8,3.94,0,0,0.82680303
"Quarter3","sweing","Saturday",6,0.8,11.41,0,0,0.800343766
"Quarter3","sweing","Saturday",12,0.8,11.61,0,0,0.800246753
"Quarter3","sweing","Saturday",7,0.8,25.9,0,0,0.800128721
"Quarter3","sweing","Saturday",8,0.8,25.9,0,0,0.800128721
"Quarter3","sweing","Saturday",1,0.8,48.68,0,0,0.800117103
"Quarter3","sweing","Saturday",9,0.8,26.16,0,0,0.800117103
"Quarter3","sweing","Saturday",2,0.6,22.94,0,0,0.77011398
"Quarter3","sweing","Saturday",4,0.7,22.52,0,0,0.7005417
"Quarter3","finishing","Saturday",8,0.8,2.9,0,0,0.675568182
"Quarter3","finishing","Saturday",7,0.8,2.9,0,0,0.661837121
"Quarter3","sweing","Saturday",10,0.65,22.52,0,0,0.650198653
"Quarter3","sweing","Saturday",3,0.6,22.52,0,0,0.600291767
"Quarter3","sweing","Saturday",11,0.6,14.89,0,0,0.600273268
"Quarter3","finishing","Saturday",6,0.8,2.9,0,0,0.465757576
